mass_A
t	x	y
0.000000000E0	-9.519812240E0	2.505213747E-2
2.000000000E-2	-9.469707965E0	1.776356839E-15
4.000000000E-2	-9.269290865E0	-2.004170998E-1
6.000000000E-2	-8.743195978E0	-2.755735122E-1
8.000000000E-2	-7.816266892E0	-2.755735122E-1
1.000000000E-1	-6.263034368E0	-2.505213747E-1
1.200000000E-1	-4.409176195E0	-3.757820621E-1
1.400000000E-1	-2.104379548E0	-4.258863370E-1
1.600000000E-1	-1.703545348E0	-5.010427495E-1
1.800000000E-1	-3.607507796E0	-5.761991619E-1
2.000000000E-1	-5.135688182E0	-6.764077118E-1
2.200000000E-1	-6.212930093E0	-8.016683991E-1
2.400000000E-1	-6.814181393E0	-9.018769490E-1
2.600000000E-1	-6.939442080E0	-9.770333614E-1
2.800000000E-1	-6.688920705E0	-9.770333614E-1
3.000000000E-1	-5.987460856E0	-1.027137636E0
3.200000000E-1	-4.860114670E0	-1.027137636E0
3.400000000E-1	-3.306882146E0	-1.002085499E0
3.600000000E-1	-1.352815424E0	-9.770333614E-1
3.800000000E-1	-1.828806036E0	-1.102294049E0
4.000000000E-1	-3.407090696E0	-1.127346186E0
4.200000000E-1	-4.509384745E0	-1.177450461E0
4.400000000E-1	-5.110636044E0	-1.202502599E0
4.600000000E-1	-5.311053144E0	-1.202502599E0
4.800000000E-1	-5.035479632E0	-1.202502599E0
5.000000000E-1	-4.459280470E0	-1.227554736E0
5.200000000E-1	-3.382038559E0	-1.177450461E0
5.400000000E-1	-1.954066723E0	-1.202502599E0
5.600000000E-1	-1.102294049E0	-1.177450461E0
5.800000000E-1	-2.405005197E0	-1.177450461E0
6.000000000E-1	-3.407090696E0	-1.202502599E0
6.200000000E-1	-3.908133446E0	-1.202502599E0
6.400000000E-1	-4.108550546E0	-1.177450461E0
6.600000000E-1	-3.607507796E0	-1.077241911E0
6.800000000E-1	-2.805839397E0	-9.770333614E-1
7.000000000E-1	-1.703545348E0	-8.768248116E-1
7.200000000E-1	-7.265119867E-1	-8.768248116E-1
7.400000000E-1	-2.004170998E0	-9.519812240E-1
7.600000000E-1	-2.705630847E0	-1.102294049E0
7.800000000E-1	-2.931100084E0	-1.202502599E0
8.000000000E-1	-2.780787260E0	-1.252606874E0
8.200000000E-1	-2.254692373E0	-1.302711149E0
8.400000000E-1	-1.152398324E0	-1.377867561E0
8.600000000E-1	-8.517726741E-1	-1.478076111E0
8.800000000E-1	-1.778701761E0	-1.578284661E0
9.000000000E-1	-2.104379548E0	-1.703545348E0
9.200000000E-1	-2.029223135E0	-1.703545348E0
9.400000000E-1	-1.578284661E0	-1.728597486E0
9.600000000E-1	-6.513555743E-1	-1.728597486E0
9.800000000E-1	-1.077241911E0	-1.803753898E0
1.000000000E0	-1.402919698E0	-1.828806036E0
1.020000000E0	-1.503128248E0	-1.979118860E0
1.040000000E0	-1.102294049E0	-1.979118860E0
1.060000000E0	-2.755735122E-1	-1.929014585E0
1.080000000E0	-8.768248116E-1	-1.954066723E0
1.100000000E0	-1.077241911E0	-1.954066723E0
1.120000000E0	-8.016683991E-1	-1.878910310E0
1.140000000E0	-1.753649623E-1	-1.853858173E0
1.160000000E0	-7.766162617E-1	-1.878910310E0
1.180000000E0	-7.014598492E-1	-1.853858173E0
1.200000000E0	-2.505213747E-1	-1.853858173E0
1.220000000E0	-4.759906120E-1	-1.828806036E0
1.240000000E0	-6.012512994E-1	-1.828806036E0
1.260000000E0	-1.503128248E-1	-1.878910310E0
1.280000000E0	-4.008341996E-1	-1.853858173E0
1.300000000E0	-1.252606874E-1	-1.853858173E0
1.320000000E0	-3.006256497E-1	-1.778701761E0
1.340000000E0	-1.503128248E-1	-1.778701761E0
1.360000000E0	-1.252606874E-1	-1.778701761E0
1.380000000E0	-1.252606874E-1	-1.778701761E0
