mass_A
t	x	y
0.000000000E0	-9.112013584E0	-9.958484792E-2
3.336666667E-2	-9.136909796E0	-1.244810599E-1
6.673333333E-2	-9.037324949E0	-1.776356839E-15
1.001000000E-1	-8.589193133E0	-2.489621198E-2
1.334666667E-1	-7.717825714E0	-2.489621198E-2
1.668333333E-1	-6.522807539E0	-1.776356839E-15
2.002000000E-1	-4.780072700E0	-1.776356839E-15
2.335666667E-1	-2.539413622E0	1.244810599E-1
2.669333333E-1	-1.145225751E0	1.493772719E-1
3.003000000E-1	-3.211611345E0	7.468863594E-2
3.336666667E-1	-4.829865124E0	-2.489621198E-2
3.670333333E-1	-5.925298451E0	-1.991696958E-1
4.004000000E-1	-6.497911327E0	-3.236507557E-1
4.337666667E-1	-6.672184810E0	-3.983393917E-1
4.671333333E-1	-6.522807539E0	-4.481318156E-1
5.005000000E-1	-5.850609815E0	-4.979242396E-1
5.338666667E-1	-4.780072700E0	-5.975090875E-1
5.672333333E-1	-3.236507557E0	-5.975090875E-1
6.006000000E-1	-1.319499235E0	-6.224052995E-1
6.339666667E-1	-1.643149991E0	-7.468863594E-1
6.673333333E-1	-3.136922709E0	-7.966787833E-1
7.007000000E-1	-4.207459825E0	-8.713674193E-1
7.340666667E-1	-4.804968912E0	-9.211598432E-1
7.674333333E-1	-4.979242396E0	-9.709522672E-1
8.008000000E-1	-4.605799216E0	-1.020744691E0
8.341666667E-1	-3.933601493E0	-1.045640903E0
8.675333333E-1	-2.539413622E0	-1.095433327E0
9.009000000E-1	-1.020744691E0	-1.319499235E0
