mass_A
t	x	y
0.000000000E0	-9.211605337E0	-1.058805211E-1
3.336666667E-2	-9.246898844E0	-7.058701408E-2
6.673333333E-2	-8.611615717E0	-1.411740282E-1
1.001000000E-1	-7.552810506E0	-7.058701408E-2
1.334666667E-1	-5.929309182E0	-1.764675352E-1
1.668333333E-1	-3.952872788E0	-2.117610422E-1
2.002000000E-1	-1.482327296E0	-3.176415633E-1
2.335666667E-1	-1.870555873E0	-4.235220845E-1
2.669333333E-1	-3.776405253E0	-5.294026056E-1
3.003000000E-1	-5.082265013E0	-7.058701408E-1
3.336666667E-1	-6.141070225E0	-8.470441689E-1
3.670333333E-1	-6.635179323E0	-1.023511704E0
4.004000000E-1	-6.705766337E0	-1.235272746E0
4.337666667E-1	-6.352831267E0	-1.235272746E0
4.671333333E-1	-5.611667619E0	-1.235272746E0
5.005000000E-1	-4.235220845E0	-1.411740282E0
5.338666667E-1	-2.470545493E0	-1.411740282E0
5.672333333E-1	-5.999896196E-1	-1.588207817E0
6.006000000E-1	-2.399958479E0	-1.729381845E0
6.339666667E-1	-3.882285774E0	-1.799968859E0
6.673333333E-1	-4.658742929E0	-1.905849380E0
7.007000000E-1	-5.011677999E0	-2.082316915E0
7.340666667E-1	-5.046971506E0	-2.188197436E0
7.674333333E-1	-4.658742929E0	-2.223490943E0
8.008000000E-1	-3.776405253E0	-2.223490943E0
8.341666667E-1	-2.399958479E0	-2.223490943E0
8.675333333E-1	-5.294026056E-1	-2.329371465E0
9.009000000E-1	-1.835262366E0	-2.364664972E0
9.342666667E-1	-3.070535112E0	-2.399958479E0
9.676333333E-1	-3.705818239E0	-2.505839000E0
1.001000000E0	-3.952872788E0	-2.576426014E0
1.034366667E0	-3.811698760E0	-2.576426014E0
1.067733333E0	-3.247002647E0	-2.576426014E0
1.101100000E0	-2.258784450E0	-2.647013028E0
1.134466667E0	-7.058701408E-1	-2.682306535E0
1.167833333E0	-1.623501324E0	-2.717600042E0
1.201200000E0	-2.541132507E0	-2.752893549E0
1.234566667E0	-3.035241605E0	-2.858774070E0
1.267933333E0	-3.105828619E0	-2.823480563E0
1.301300000E0	-2.717600042E0	-2.858774070E0
1.334666667E0	-1.941142887E0	-2.894067577E0
1.368033333E0	-5.646961126E-1	-2.823480563E0
1.401400000E0	-1.341153267E0	-2.894067577E0
1.434766667E0	-1.941142887E0	-3.070535112E0
1.468133333E0	-2.188197436E0	-3.070535112E0
1.501500000E0	-1.764675352E0	-3.282296155E0
1.534866667E0	-1.094098718E0	-3.282296155E0
1.568233333E0	-7.058701408E-1	-3.352883169E0
1.601600000E0	-1.447033789E0	-3.494057197E0
1.634966667E0	-1.694088338E0	-3.529350704E0
1.668333333E0	-1.552914310E0	-3.529350704E0
1.701700000E0	-9.529246900E-1	-3.564644211E0
1.735066667E0	-8.470441689E-1	-3.564644211E0
1.768433333E0	-1.235272746E0	-3.529350704E0
1.801800000E0	-1.305859760E0	-3.529350704E0
1.835166667E0	-8.823376760E-1	-3.494057197E0
1.868533333E0	-6.352831267E-1	-3.494057197E0
1.901900000E0	-8.117506619E-1	-3.529350704E0
1.935266667E0	-6.705766337E-1	-3.494057197E0
1.968633333E0	-7.764571548E-1	-3.423470183E0
2.002000000E0	-4.235220845E-1	-3.388176676E0
2.035366667E0	-4.588155915E-1	-3.388176676E0
2.068733333E0	-3.882285774E-1	-3.352883169E0
